version,class_idx,class_name,frequency
real,0,empty,0.9939322471618652
real,1,wall,0.003478069305419922
real,2,roof,0.001621227264404297
real,3,ground,0.0009684562683105469
real,4,outer_ceiling,0.0
real,5,closure,0.0
v2,0,empty,0.27064085006713867
v2,1,wall,0.14635491371154785
v2,2,roof,0.1437070369720459
v2,3,ground,0.14721107482910156
v2,4,outer_ceiling,0.14617443084716797
v2,5,closure,0.14591169357299805
v3,0,empty,0.20069098472595215
v3,1,wall,0.2512326240539551
v3,2,roof,0.1513831615447998
v3,3,ground,0.14936470985412598
v3,4,outer_ceiling,0.12379860877990723
v3,5,closure,0.12352991104125977
v4,0,empty,0.9870700836181641
v4,1,wall,0.008379459381103516
v4,2,roof,0.003013134002685547
v4,3,ground,0.001537322998046875
v4,4,outer_ceiling,0.0
v4,5,closure,0.0
