iter,gn_avg_100,gn_max_100
1,0.274,0.27
100,0.432,0.66
200,0.851,1.46
300,1.679,3.5
400,2.454,7.13
500,3.361,7.66
600,4.795,11.15
700,5.321,14.11
800,5.761,19.68
900,6.634,19.86
1000,7.033,25.62
1100,6.039,17.57
1200,5.955,25.45
1300,6.166,24.91
1400,4.777,23.87
1500,5.041,27.76
1600,5.951,19.29
1700,4.826,16.86
1800,4.391,20.51
1900,4.429,20.06
2000,3.971,19.32
2100,4.281,19.65
2200,3.731,19.74
2300,4.203,15.68
2400,3.802,15.26
2500,3.706,18.27
2600,3.596,15.9
2700,2.796,14.85
2800,3.006,37.26
2900,3.502,22.83
3000,2.195,14.55
3100,2.701,14.28
3200,2.631,13.84
3300,2.775,21.49
3400,2.377,16.88
3500,2.552,13.35
3600,3.231,14.44
3700,2.403,9.38
3800,2.117,14.13
3900,1.949,9.87
4000,2.471,15.96
4100,2.09,11.31
4200,2.376,10.96
4300,1.762,12.97
4400,1.962,10.85
4500,1.39,11.03
4600,1.673,10.69
4700,1.909,10.77
4800,1.396,8.94
4900,1.685,16.16
5000,2.024,10.39
5100,1.595,10.86
5200,1.632,10.99
5300,1.651,12.47
5400,1.579,10.98
5500,1.829,12.17
5600,1.168,9.49
5700,1.569,8.96
5800,1.247,9.29
5900,1.629,12.85
6000,1.555,16.37
6100,1.735,8.61
6200,0.954,9.8
6300,1.154,6.72
6400,1.711,11.69
6500,1.519,14.81
6600,0.903,7.0
6700,1.685,10.56
6800,1.237,8.44
6900,0.797,6.19
7000,0.79,6.72
7100,1.406,10.94
7200,0.872,8.46
7300,1.009,10.83
7400,0.904,6.8
7500,0.994,7.39
7600,0.888,8.04
7700,0.822,7.87
7800,1.123,8.2
7900,1.344,8.54
8000,1.206,12.48
8100,0.949,5.74
8200,1.104,10.35
8300,0.958,10.02
8400,0.99,11.27
8500,1.071,5.53
8600,0.813,5.63
8700,1.028,8.78
8800,1.355,8.56
8900,1.14,8.98
9000,0.79,5.58
9100,1.164,7.26
9200,0.741,7.1
9300,1.012,7.72
9400,0.849,7.56
9500,0.695,5.9
9600,0.706,8.53
9700,1.014,8.54
9800,0.659,5.47
9900,0.555,6.96
10000,0.707,7.01
10100,0.772,7.13
10200,0.832,6.44
10300,0.921,7.79
10400,0.73,5.6
10500,0.882,13.61
10600,0.767,5.27
10700,0.844,5.84
10800,0.683,6.46
10900,0.951,8.69
11000,0.59,5.01
11100,0.819,7.56
11200,0.776,5.52
11300,0.581,5.49
11400,0.543,4.38
11500,0.467,5.21
11600,0.863,6.16
11700,0.524,4.65
11800,0.801,7.54
11900,0.637,4.97
12000,0.721,5.42
12100,0.732,5.13
12200,0.71,5.22
12300,0.674,6.77
12400,0.47,4.91
12500,0.757,4.59
12600,0.521,4.5
12700,0.541,5.8
12800,0.423,4.6
12900,0.389,2.81
13000,0.723,4.95
13100,0.36,3.85
13200,0.477,5.56
13300,0.567,6.16
13400,0.445,4.27
13500,0.456,4.3
13600,0.392,4.21
13700,0.701,5.75
13800,0.269,2.99
13900,0.277,1.59
14000,0.492,7.86
14100,0.372,4.25
14200,0.483,5.77
14300,0.447,3.77
14400,0.393,3.03
14500,0.51,3.7
14600,0.457,4.58
14700,0.461,3.17
14800,0.344,2.83
14900,0.485,4.73
15000,0.455,3.3
15100,0.358,3.15
15200,0.216,1.67
15300,0.377,3.15
15400,0.437,4.49
15500,0.48,2.97
15600,0.39,3.92
15700,0.252,2.18
15800,0.428,3.24
15900,0.485,3.89
16000,0.361,2.94
16100,0.314,3.57
16200,0.354,2.37
16300,0.327,2.25
16400,0.44,4.06
16500,0.348,4.84
16600,0.423,2.55
16700,0.436,2.82
16800,0.301,2.33
16900,0.341,3.32
17000,0.301,2.18
17100,0.367,3.48
17200,0.345,1.99
17300,0.249,5.1
17400,0.359,2.39
17500,0.388,2.48
17600,0.288,1.57
17700,0.317,2.9
17800,0.238,2.27
17900,0.249,2.7
18000,0.264,1.9
18100,0.297,2.4
18200,0.224,1.84
18300,0.275,3.41
