iter,loss,recent_min,lr,it_per_s,elapsed_s
1,0.9998,0.9998,1e-07,0.97,1
100,0.9946,0.98,1e-05,1.72,58
200,0.9455,0.9013,2e-05,1.72,116
300,0.8649,0.817,3e-05,1.72,174
400,0.7698,0.7089,4e-05,1.72,233
500,0.663,0.5934,5e-05,1.72,291
600,0.5591,0.4965,6e-05,1.72,349
700,0.471,0.399,7e-05,1.72,407
800,0.3715,0.3079,8e-05,1.72,465
900,0.3011,0.2312,9e-05,1.72,524
1000,0.2268,0.1777,0.0001,1.72,582
1100,0.1785,0.1309,0.0001,1.72,640
1200,0.1377,0.1023,0.0001,1.72,698
1300,0.1156,0.0831,0.0001,1.72,756
1400,0.0956,0.0702,0.0001,1.72,815
1500,0.0895,0.0605,0.0001,1.72,873
1600,0.0884,0.0587,0.0001,1.72,931
1700,0.0758,0.0527,0.0001,1.72,989
1800,0.0721,0.0481,0.0001,1.72,1047
1900,0.0676,0.0446,0.0001,1.72,1106
2000,0.0607,0.0411,0.0001,1.72,1164
2100,0.0565,0.0368,0.0001,1.72,1222
2200,0.053,0.0348,0.0001,1.72,1280
2300,0.0531,0.0327,0.0001,1.72,1338
2400,0.0531,0.0306,0.0001,1.72,1397
2500,0.0455,0.0282,0.0001,1.72,1455
2600,0.0459,0.0268,0.0001,1.66,1571
2700,0.0377,0.0252,0.0001,1.66,1629
2800,0.0349,0.0233,0.0001,1.66,1687
2900,0.0395,0.0217,0.0001,1.66,1745
3000,0.0297,0.0199,0.0001,1.66,1803
3100,0.0317,0.019,0.0001,1.67,1862
3200,0.0299,0.0175,0.0001,1.67,1920
3300,0.03,0.0164,0.0001,1.67,1978
3400,0.0285,0.0153,0.0001,1.67,2036
3500,0.0255,0.0148,0.0001,1.67,2094
3600,0.0297,0.0141,0.0001,1.67,2152
3700,0.0255,0.014,0.0001,1.67,2211
3800,0.0243,0.0133,0.0001,1.67,2269
3900,0.0236,0.0124,0.0001,1.68,2327
4000,0.0306,0.0121,0.0001,1.68,2385
4100,0.0251,0.0117,0.0001,1.68,2443
4200,0.0258,0.0115,0.0001,1.68,2502
4300,0.02,0.0108,0.0001,1.68,2560
4400,0.0195,0.01,0.0001,1.68,2618
4500,0.0158,0.0096,0.0001,1.68,2676
4600,0.017,0.0094,0.0001,1.68,2734
4700,0.0219,0.0088,0.0001,1.68,2792
4800,0.0164,0.0089,0.0001,1.68,2851
4900,0.0158,0.0085,0.0001,1.68,2909
5000,0.0198,0.0085,0.0001,1.69,2967
5100,0.0161,0.0078,0.0001,1.65,3083
5200,0.0175,0.0077,0.0001,1.66,3141
5300,0.0176,0.0074,0.0001,1.66,3199
5400,0.016,0.0072,0.0001,1.66,3257
5500,0.0175,0.007,0.0001,1.66,3316
5600,0.0137,0.0065,0.0001,1.66,3374
5700,0.0155,0.0067,0.0001,1.66,3432
5800,0.0133,0.0062,0.0001,1.66,3490
5900,0.0153,0.0062,0.0001,1.66,3548
6000,0.016,0.0062,0.0001,1.66,3606
6100,0.0155,0.006,0.0001,1.66,3665
6200,0.0101,0.0055,0.0001,1.67,3723
6300,0.0116,0.0055,0.0001,1.67,3781
6400,0.0144,0.0053,0.0001,1.67,3839
6500,0.0143,0.0054,0.0001,1.67,3897
6600,0.01,0.0047,0.0001,1.67,3956
6700,0.0162,0.0049,0.0001,1.67,4014
6800,0.0138,0.0049,0.0001,1.67,4072
6900,0.0085,0.0045,0.0001,1.67,4130
7000,0.0091,0.0043,0.0001,1.67,4188
7100,0.0129,0.0045,0.0001,1.67,4247
7200,0.0089,0.0042,0.0001,1.67,4305
7300,0.0105,0.0043,0.0001,1.67,4363
7400,0.0095,0.0042,0.0001,1.67,4421
7500,0.0092,0.0041,0.0001,1.67,4479
7600,0.0104,0.0039,0.0001,1.65,4595
7700,0.0083,0.0037,0.0001,1.65,4653
7800,0.0098,0.0039,0.0001,1.66,4711
7900,0.0162,0.0036,0.0001,1.66,4770
8000,0.0115,0.0037,0.0001,1.66,4828
8100,0.0105,0.0036,0.0001,1.66,4886
8200,0.0103,0.0035,0.0001,1.66,4944
8300,0.0087,0.0034,0.0001,1.66,5002
8400,0.0096,0.0034,0.0001,1.66,5060
8500,0.0115,0.0033,0.0001,1.66,5119
8600,0.0079,0.0033,0.0001,1.66,5177
8700,0.0103,0.003,0.0001,1.66,5235
8800,0.012,0.0031,0.0001,1.66,5293
8900,0.0117,0.0031,0.0001,1.66,5351
9000,0.007,0.0029,0.0001,1.66,5410
9100,0.0126,0.0031,0.0001,1.66,5468
9200,0.0073,0.0028,0.0001,1.66,5526
9300,0.0092,0.0027,0.0001,1.67,5584
9400,0.0084,0.0029,0.0001,1.67,5642
9500,0.0066,0.0027,0.0001,1.67,5701
9600,0.0075,0.0026,0.0001,1.67,5759
9700,0.0103,0.0026,0.0001,1.67,5817
9800,0.0064,0.0028,0.0001,1.67,5875
9900,0.0064,0.0025,0.0001,1.67,5933
10000,0.007,0.0026,0.0001,1.67,5991
10100,0.0067,0.0025,0.0001,1.65,6107
10200,0.007,0.0023,0.0001,1.65,6166
10300,0.009,0.0026,0.0001,1.65,6224
10400,0.007,0.0023,0.0001,1.66,6282
10500,0.0085,0.0025,0.0001,1.66,6340
10600,0.0076,0.0025,0.0001,1.66,6398
10700,0.0077,0.0023,0.0001,1.66,6457
10800,0.0071,0.0023,0.0001,1.66,6515
10900,0.0091,0.0023,0.0001,1.66,6573
11000,0.0057,0.0023,0.0001,1.66,6631
11100,0.0091,0.0022,0.0001,1.66,6689
11200,0.0135,0.0028,0.0001,1.66,6747
11300,0.0072,0.0024,0.0001,1.66,6806
11400,0.0066,0.0023,0.0001,1.66,6864
11500,0.0051,0.002,0.0001,1.66,6922
11600,0.0088,0.0021,0.0001,1.66,6980
11700,0.0066,0.0019,0.0001,1.66,7038
11800,0.01,0.002,0.0001,1.66,7097
11900,0.0072,0.0021,0.0001,1.66,7155
12000,0.0085,0.0021,0.0001,1.66,7213
12100,0.0098,0.002,0.0001,1.66,7271
12200,0.0087,0.002,0.0001,1.66,7329
12300,0.008,0.0018,0.0001,1.66,7388
12400,0.0048,0.0018,0.0001,1.67,7446
12500,0.0086,0.0021,0.0001,1.67,7504
12600,0.0061,0.0019,0.0001,1.65,7620
12700,0.0067,0.0019,0.0001,1.65,7678
12800,0.0047,0.0017,0.0001,1.65,7736
12900,0.0048,0.0017,0.0001,1.66,7794
13000,0.0078,0.002,0.0001,1.66,7852
13100,0.0046,0.0018,0.0001,1.66,7911
13200,0.0051,0.0017,0.0001,1.66,7969
13300,0.0059,0.0018,0.0001,1.66,8027
13400,0.0053,0.0018,0.0001,1.66,8085
13500,0.0055,0.0019,0.0001,1.66,8143
13600,0.0048,0.0016,0.0001,1.66,8202
13700,0.0078,0.0017,0.0001,1.66,8260
13800,0.0035,0.0016,0.0001,1.66,8318
13900,0.0035,0.0015,0.0001,1.66,8376
14000,0.0058,0.0016,0.0001,1.66,8434
14100,0.0054,0.0015,0.0001,1.66,8493
14200,0.0068,0.0018,0.0001,1.66,8551
14300,0.0056,0.0016,0.0001,1.66,8609
14400,0.0052,0.0016,0.0001,1.66,8667
14500,0.0061,0.0017,0.0001,1.66,8725
14600,0.005,0.0016,0.0001,1.66,8784
14700,0.0059,0.0017,0.0001,1.66,8842
14800,0.0049,0.0016,0.0001,1.66,8900
14900,0.0055,0.0015,0.0001,1.66,8958
15000,0.0057,0.0015,0.0001,1.66,9016
15100,0.0046,0.0014,0.0001,1.65,9132
15200,0.003,0.0013,0.0001,1.65,9190
15300,0.005,0.0015,0.0001,1.65,9249
15400,0.0058,0.0015,0.0001,1.65,9307
15500,0.0069,0.0016,0.0001,1.66,9365
15600,0.0049,0.0014,0.0001,1.66,9423
15700,0.0033,0.0013,0.0001,1.66,9481
15800,0.0052,0.0014,0.0001,1.66,9540
15900,0.0056,0.0015,0.0001,1.66,9598
16000,0.0054,0.0014,0.0001,1.66,9656
16100,0.0051,0.0014,0.0001,1.66,9714
16200,0.0044,0.0014,0.0001,1.66,9772
16300,0.0043,0.0013,0.0001,1.66,9831
16400,0.0066,0.0014,0.0001,1.66,9889
16500,0.0041,0.0012,0.0001,1.66,9947
16600,0.0055,0.0015,0.0001,1.66,10005
16700,0.0061,0.0015,0.0001,1.66,10063
16800,0.0045,0.0013,0.0001,1.66,10121
16900,0.0052,0.0014,0.0001,1.66,10180
17000,0.0048,0.0014,0.0001,1.66,10238
17100,0.0051,0.0013,0.0001,1.66,10296
17200,0.0054,0.0014,0.0001,1.66,10354
17300,0.003,0.0012,0.0001,1.66,10412
17400,0.0044,0.0013,0.0001,1.66,10471
17500,0.006,0.0014,0.0001,1.66,10529
17600,0.0038,0.0013,0.0001,1.65,10645
17700,0.0048,0.0011,0.0001,1.65,10703
17800,0.0035,0.0011,0.0001,1.65,10761
17900,0.0036,0.0013,0.0001,1.65,10819
